Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MoneyOps/addOne/doubles,1.007976958455411e-8,9.90881782954681e-9,1.0307903944246379e-8,7.186401638430593e-10,5.75204171382669e-10,8.674325456224865e-10
MoneyOps/addOne/MV_same,8.936494605762944e-9,8.8831358809651e-9,9.065164285573239e-9,2.739345709899605e-10,8.651096381380479e-11,5.509646941330564e-10
MoneyOps/addOne/MV_diff,9.038059947690776e-9,8.95928321070655e-9,9.187888903977293e-9,3.7738867499135826e-10,1.7279752038924866e-10,5.930275714469093e-10
MoneyOps/addOne/CV_same,9.133042989393467e-9,9.033951775223538e-9,9.30026357687959e-9,4.863333347713073e-10,3.5784358393154525e-10,6.793538496601951e-10
MoneyOps/addOne/CV_diff,1.0098830170544908e-8,9.986374511941258e-9,1.0195697621362175e-8,3.541127206698758e-10,2.6478619880505685e-10,5.094918036566785e-10
MoneyOps/addTwo/doubles,9.128987786179774e-9,9.0910858981721e-9,9.22278109937165e-9,1.843237861527001e-10,1.1321387409863383e-10,3.106953327358006e-10
MoneyOps/addTwo/MV,9.088664373037062e-9,8.970876725359243e-9,9.211072384408114e-9,4.374251656264327e-10,2.598433872321238e-10,5.846560357828578e-10
MoneyOps/addTwo/CV,9.195059692528585e-9,9.097028536706875e-9,9.408110476428345e-9,4.341303558620658e-10,2.8691655657329916e-10,6.322154682426226e-10
MoneyOps/scalarMult/doubles,9.755041500328985e-9,9.738496897588938e-9,9.776115422170561e-9,6.368225514745135e-11,5.298210373015404e-11,8.704533090887736e-11
MoneyOps/scalarMult/MV,9.348627564172952e-9,9.20974946359092e-9,9.53011196795192e-9,5.117788332291274e-10,3.308039758459986e-10,7.107887963235264e-10
MoneyOps/scalarMult/CV,9.207477664032276e-9,9.065632866671216e-9,9.42622809907343e-9,5.015092262665007e-10,3.7998767325075705e-10,6.716217834146116e-10
MoneyOps/divOne/doubles,8.909969230696636e-9,8.868504348397375e-9,8.973873095773629e-9,1.6302065358124025e-10,1.0167381900944463e-10,2.3252085033293637e-10
MoneyOps/divOne/MV_same,9.964011101246087e-9,9.872644057658663e-9,1.0125905691567369e-8,3.796871772195135e-10,2.571837934544778e-10,6.168496182473693e-10
MoneyOps/divOne/MV_diff,9.270784453857281e-9,9.201462533993359e-9,9.398900486084365e-9,3.4105146837326843e-10,2.4372969508247956e-10,5.171433887712699e-10
MoneyOps/divOne/CV_same,9.047531842635761e-9,8.974390429367157e-9,9.247183132915769e-9,3.229786578573111e-10,1.3183906785946148e-10,6.135971060650803e-10
MoneyOps/divOne/CV_diff,9.416665712101303e-9,9.270111604260551e-9,9.602372778027307e-9,6.250777885861677e-10,4.985022547015542e-10,7.30096654681373e-10
MoneyOps/arithmetic/doubles,1.0318960972843762e-8,1.0142773098450883e-8,1.0648004641639179e-8,7.735574845732046e-10,6.051427802911219e-10,9.4845631320142e-10
MoneyOps/arithmetic/CV,9.482307814744452e-9,9.31439207515095e-9,9.664785666160619e-9,5.890210769818498e-10,4.2143038862561893e-10,7.101576567784838e-10
"MoneyOps/mortgage/doPayment (doubles)",9.084373647199836e-9,9.023907250266562e-9,9.199899125171433e-9,2.7365287409584436e-10,1.6688913653306897e-10,4.30842173066787e-10
"MoneyOps/mortgage/doPayment (CV)",2.2296524134114735e-7,2.2169432336147754e-7,2.2504907996990748e-7,6.685673415309334e-9,4.176648724625501e-9,1.0465664164013408e-8
"MoneyOps/mortgage/doPayment (hybrid)",1.6256260487186164e-8,1.6112442123811224e-8,1.645140802266734e-8,5.124736323645986e-10,3.5739509914103463e-10,6.947064821653864e-10
"MoneyOps/mortgage/doPayment (hybrid2)",4.750178037376453e-8,4.720651212264313e-8,4.810198671331061e-8,1.4624245508507898e-9,5.003135759543168e-10,2.9262001426332983e-9
"MoneyOps/mortgage/doPayments (doubles)",8.3933714713613e-8,8.378333212900104e-8,8.411174460136703e-8,5.336203324332562e-10,3.4796730077161166e-10,7.399545110659371e-10
"MoneyOps/mortgage/doPayments (CV)",2.534514666609984e-6,2.5265028483913195e-6,2.5439226954361247e-6,2.7963035398733155e-8,2.308767229968954e-8,3.7209482274776635e-8
